date,atm_name,withdrawals_total,withdrawals_xyz,withdrawals_other,amount_total,amount_xyz,amount_other,weekday,festival,working_day
2011-02-02,KK Nagar ATM,271.0,196.0,75.0,1159900.0,833900.0,326000.0,3,NH,1.0
2011-02-02,Airport ATM,104.0,72.0,32.0,472000.0,345000.0,127000.0,3,NH,1.0
2011-02-02,Big Street ATM,19.0,13.0,6.0,79200.0,70500.0,8700.0,3,NH,1.0
2011-02-03,Christ College ATM,118.0,41.0,77.0,638200.0,272200.0,366000.0,4,NH,1.0
2011-02-03,Mount Road ATM,153.0,118.0,35.0,610800.0,506500.0,104300.0,4,NH,1.0
2011-02-03,KK Nagar ATM,243.0,197.0,46.0,1043200.0,858500.0,184700.0,4,NH,1.0
2011-02-03,Airport ATM,116.0,94.0,22.0,616800.0,548900.0,67900.0,4,NH,1.0
2011-02-03,Big Street ATM,37.0,15.0,22.0,143300.0,66700.0,76600.0,4,NH,1.0
2011-02-04,Christ College ATM,71.0,33.0,38.0,285100.0,147000.0,138100.0,5,NH,0.0
2011-02-04,Mount Road ATM,217.0,106.0,111.0,776400.0,499500.0,276900.0,5,NH,0.0
2011-02-04,KK Nagar ATM,193.0,155.0,38.0,728200.0,552100.0,176100.0,5,NH,0.0
2011-02-04,Airport ATM,126.0,102.0,24.0,555800.0,465500.0,90300.0,5,NH,0.0
2011-02-04,Big Street ATM,31.0,14.0,17.0,130500.0,91200.0,39300.0,5,NH,0.0
2011-02-05,Christ College ATM,93.0,42.0,51.0,436200.0,228800.0,207400.0,6,NH,1.0
2011-02-05,Mount Road ATM,96.0,55.0,41.0,361600.0,233800.0,127800.0,6,NH,1.0
2011-02-05,KK Nagar ATM,244.0,166.0,78.0,1245600.0,799100.0,446500.0,6,NH,1.0
2011-02-05,Airport ATM,138.0,87.0,51.0,617800.0,447200.0,170600.0,6,NH,1.0
2011-02-05,Big Street ATM,23.0,15.0,8.0,116500.0,80900.0,35600.0,6,NH,1.0
2011-02-06,Christ College ATM,96.0,23.0,73.0,474600.0,152900.0,321700.0,7,NH,1.0
2011-02-06,Mount Road ATM,246.0,91.0,155.0,717900.0,307000.0,410900.0,7,NH,1.0
2011-02-06,KK Nagar ATM,245.0,167.0,78.0,1152400.0,835900.0,316500.0,7,NH,1.0
2011-02-06,Airport ATM,141.0,110.0,31.0,580200.0,449100.0,131100.0,7,NH,1.0
2011-02-06,Big Street ATM,30.0,13.0,17.0,109600.0,56300.0,53300.0,7,NH,1.0
2011-02-07,Christ College ATM,87.0,37.0,50.0,421600.0,211400.0,210200.0,1,NH,0.0
2011-02-07,Mount Road ATM,197.0,105.0,92.0,856500.0,564000.0,292500.0,1,NH,0.0
2011-02-07,KK Nagar ATM,196.0,149.0,47.0,896900.0,648600.0,248300.0,1,NH,0.0
2011-02-07,Airport ATM,139.0,117.0,22.0,714200.0,640800.0,73400.0,1,NH,0.0
2011-02-07,Big Street ATM,36.0,18.0,18.0,68000.0,41500.0,26500.0,1,NH,0.0
2011-02-08,Christ College ATM,88.0,40.0,48.0,359200.0,139700.0,219500.0,2,NH,1.0
2011-02-08,Mount Road ATM,221.0,102.0,119.0,673500.0,385100.0,288400.0,2,NH,1.0
2011-02-08,KK Nagar ATM,223.0,164.0,59.0,936300.0,710600.0,225700.0,2,NH,1.0
2011-02-08,Airport ATM,121.0,98.0,23.0,671500.0,577200.0,94300.0,2,NH,1.0
2011-02-08,Big Street ATM,67.0,17.0,50.0,244000.0,67800.0,176200.0,2,NH,1.0
2011-02-09,Christ College ATM,71.0,50.0,21.0,280100.0,173300.0,106800.0,3,NH,1.0
2011-02-09,Mount Road ATM,176.0,107.0,69.0,663600.0,493500.0,170100.0,3,NH,1.0
2011-02-09,KK Nagar ATM,197.0,136.0,61.0,866800.0,560700.0,306100.0,3,NH,1.0
2011-02-09,Airport ATM,129.0,81.0,48.0,600600.0,432600.0,168000.0,3,NH,1.0
2011-02-09,Big Street ATM,34.0,22.0,12.0,201600.0,155600.0,46000.0,3,NH,1.0
2011-02-10,Christ College ATM,80.0,20.0,60.0,263000.0,81900.0,181100.0,4,N,0.0
2011-02-10,Mount Road ATM,215.0,40.0,175.0,759200.0,246700.0,512500.0,4,N,0.0
2011-02-10,KK Nagar ATM,133.0,94.0,39.0,470400.0,311000.0,159400.0,4,N,0.0
2011-02-10,Airport ATM,97.0,62.0,35.0,397700.0,293300.0,104400.0,4,N,0.0
2011-02-10,Big Street ATM,43.0,18.0,25.0,149000.0,63500.0,85500.0,4,N,0.0
2011-02-11,Christ College ATM,97.0,39.0,58.0,417400.0,129900.0,287500.0,5,NH,1.0
2011-02-11,Mount Road ATM,216.0,110.0,106.0,900000.0,492400.0,407600.0,5,NH,1.0
2011-02-11,KK Nagar ATM,223.0,150.0,73.0,1120400.0,760300.0,360100.0,5,NH,1.0
2011-02-11,Airport ATM,100.0,76.0,24.0,475900.0,382900.0,93000.0,5,NH,1.0
2011-02-11,Big Street ATM,41.0,23.0,18.0,223200.0,167700.0,55500.0,5,NH,1.0
2011-02-12,Christ College ATM,83.0,52.0,31.0,365500.0,236100.0,129400.0,6,NH,1.0
2011-02-12,Mount Road ATM,170.0,102.0,68.0,625900.0,457900.0,168000.0,6,NH,1.0
2011-02-12,KK Nagar ATM,244.0,157.0,87.0,1159400.0,772800.0,386600.0,6,NH,1.0
2011-02-12,Airport ATM,111.0,89.0,22.0,620200.0,514500.0,105700.0,6,NH,1.0
2011-02-12,Big Street ATM,43.0,22.0,21.0,180900.0,110100.0,70800.0,6,NH,1.0
2011-02-13,Christ College ATM,40.0,19.0,21.0,119000.0,56500.0,62500.0,7,NH,0.0
2011-02-13,Mount Road ATM,145.0,50.0,95.0,359400.0,227100.0,132300.0,7,NH,0.0
2011-02-13,KK Nagar ATM,137.0,108.0,29.0,370700.0,273200.0,97500.0,7,NH,0.0
2011-02-13,Airport ATM,91.0,63.0,28.0,288100.0,255000.0,33100.0,7,NH,0.0
2011-02-13,Big Street ATM,28.0,16.0,12.0,74900.0,54300.0,20600.0,7,NH,0.0
2011-02-14,Christ College ATM,38.0,17.0,21.0,173100.0,93500.0,79600.0,1,NH,1.0
2011-02-14,Mount Road ATM,153.0,78.0,75.0,413100.0,270100.0,143000.0,1,NH,1.0
2011-02-14,KK Nagar ATM,207.0,162.0,45.0,791300.0,614400.0,176900.0,1,NH,1.0
2011-02-14,Airport ATM,86.0,69.0,17.0,365800.0,306700.0,59100.0,1,NH,1.0
2011-02-14,Big Street ATM,33.0,17.0,16.0,117000.0,84000.0,33000.0,1,NH,1.0
2011-02-15,Christ College ATM,93.0,59.0,34.0,357700.0,247900.0,109800.0,2,NH,1.0
2011-02-15,Mount Road ATM,154.0,97.0,57.0,499900.0,393200.0,106700.0,2,NH,1.0
2011-02-15,KK Nagar ATM,208.0,167.0,41.0,890100.0,701100.0,189000.0,2,NH,1.0
2011-02-15,Airport ATM,98.0,78.0,20.0,362000.0,323000.0,39000.0,2,NH,1.0
2011-02-15,Big Street ATM,34.0,17.0,17.0,123700.0,77300.0,46400.0,2,NH,1.0
2011-02-16,Christ College ATM,55.0,22.0,33.0,147100.0,64000.0,83100.0,3,M,0.0
2011-02-16,Mount Road ATM,131.0,58.0,73.0,317300.0,188700.0,128600.0,3,M,0.0
2011-02-16,KK Nagar ATM,162.0,125.0,37.0,482200.0,399700.0,82500.0,3,M,0.0
2011-02-16,Airport ATM,65.0,51.0,14.0,277900.0,248200.0,29700.0,3,M,0.0
2011-02-16,Big Street ATM,14.0,6.0,8.0,23700.0,5600.0,18100.0,3,M,0.0
2011-02-17,Christ College ATM,77.0,26.0,51.0,292600.0,113700.0,178900.0,4,NH,1.0
2011-02-17,Mount Road ATM,160.0,83.0,77.0,549900.0,312600.0,237300.0,4,NH,1.0
2011-02-17,KK Nagar ATM,230.0,203.0,27.0,998300.0,878600.0,119700.0,4,NH,1.0
2011-02-17,Airport ATM,77.0,62.0,15.0,292300.0,272200.0,20100.0,4,NH,1.0
2011-02-17,Big Street ATM,26.0,15.0,11.0,99700.0,66500.0,33200.0,4,NH,1.0
2011-02-18,Christ College ATM,66.0,24.0,42.0,200600.0,59800.0,140800.0,5,NH,1.0
2011-02-18,Mount Road ATM,167.0,74.0,93.0,484200.0,263900.0,220300.0,5,NH,1.0
2011-02-18,KK Nagar ATM,159.0,139.0,20.0,543000.0,495600.0,47400.0,5,NH,1.0
2011-02-18,Airport ATM,64.0,52.0,12.0,242200.0,232300.0,9900.0,5,NH,1.0
2011-02-18,Big Street ATM,35.0,24.0,11.0,141800.0,126700.0,15100.0,5,NH,1.0
2011-02-19,Christ College ATM,74.0,41.0,33.0,399800.0,225900.0,173900.0,6,NH,0.0
2011-02-19,Mount Road ATM,185.0,78.0,107.0,441400.0,253600.0,187800.0,6,NH,0.0
2011-02-19,KK Nagar ATM,198.0,164.0,34.0,858300.0,756800.0,101500.0,6,NH,0.0
2011-02-19,Airport ATM,113.0,81.0,32.0,454200.0,357700.0,96500.0,6,NH,0.0
2011-02-19,Big Street ATM,15.0,8.0,7.0,54300.0,43400.0,10900.0,6,NH,0.0
2011-02-20,Christ College ATM,62.0,16.0,46.0,169400.0,61600.0,107800.0,7,NH,0.0
2011-02-20,Mount Road ATM,165.0,40.0,125.0,407300.0,120000.0,287300.0,7,NH,0.0
2011-02-20,KK Nagar ATM,132.0,108.0,24.0,302100.0,222100.0,80000.0,7,NH,0.0
2011-02-20,Airport ATM,101.0,82.0,19.0,347800.0,313900.0,33900.0,7,NH,0.0
2011-02-20,Big Street ATM,20.0,6.0,14.0,56000.0,13100.0,42900.0,7,NH,0.0
2011-02-21,Christ College ATM,61.0,32.0,29.0,143200.0,103000.0,40200.0,1,NH,1.0
2011-02-21,Mount Road ATM,158.0,52.0,106.0,456400.0,151700.0,304700.0,1,NH,1.0
2011-02-21,KK Nagar ATM,176.0,147.0,29.0,659200.0,578000.0,81200.0,1,NH,1.0
2011-02-21,Airport ATM,72.0,54.0,18.0,285600.0,222600.0,63000.0,1,NH,1.0
2011-02-21,Big Street ATM,23.0,12.0,11.0,64200.0,48200.0,16000.0,1,NH,1.0
2011-02-22,Christ College ATM,100.0,47.0,53.0,370800.0,200200.0,170600.0,2,NH,1.0
2011-02-22,Mount Road ATM,145.0,79.0,66.0,479200.0,352400.0,126800.0,2,NH,1.0
2011-02-22,KK Nagar ATM,170.0,139.0,31.0,624300.0,537400.0,86900.0,2,NH,1.0
2011-02-22,Airport ATM,81.0,67.0,14.0,350400.0,316700.0,33700.0,2,NH,1.0
2011-02-22,Big Street ATM,35.0,17.0,18.0,142500.0,93800.0,48700.0,2,NH,1.0
